Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
7/4/00,80,69,0,0,0
7/5/00,82,67,0.62,0,0
7/6/00,81,62,0,0,0
7/7/00,78,66,0.59,0,0
7/8/00,93,70,0.08,0,0
7/9/00,86,66,2.55,0,0
7/10/00,86,70,0.12,0,0
7/11/00,83,66,T,0,0
7/12/00,83,71,0.08,0,0
7/13/00,88,70,0,0,0
7/14/00,86,68,0,0,0
7/15/00,83,65,0,0,0
7/16/00,86,66,T,0,0
7/17/00,74,60,0,0,0
7/18/00,60,52,0.23,0,0
7/19/00,69,55,0,0,0
7/20/00,73,59,0,0,0
7/21/00,76,54,0,0,0
7/22/00,77,57,0,0,0
7/23/00,81,61,0,0,0
7/24/00,82,63,0,0,0
7/25/00,83,66,1.06,0,0
7/26/00,78,65,0.06,0,0
7/27/00,83,64,0,0,0
7/28/00,77,64,0,0,0
7/29/00,82,63,0,0,0
7/30/00,86,64,0,0,0
7/31/00,88,65,0,0,0
8/1/00,86,70,0.01,0,0
8/2/00,82,64,0,0,0
8/3/00,77,63,0,0,0
8/4/00,83,63,0,0,0
8/5/00,74,66,T,0,0
8/6/00,83,64,0.03,0,0
8/7/00,88,62,1.05,0,0
8/8/00,80,65,0.22,0,0
8/9/00,84,64,0,0,0
8/10/00,87,63,0,0,0
8/11/00,86,68,0,0,0
8/12/00,86,71,0.05,0,0
8/13/00,86,70,0,0,0
8/14/00,91,68,0,0,0
8/15/00,80,63,0,0,0
8/16/00,76,57,1.49,0,0
8/17/00,74,58,T,0,0
8/18/00,76,52,0,0,0
8/19/00,75,59,0,0,0
8/20/00,76,61,0,0,0
8/21/00,71,62,T,0,0
8/22/00,77,63,0,0,0
8/23/00,84,60,0,0,0
8/24/00,83,64,0,0,0
8/25/00,82,67,T,0,0
8/26/00,82,63,0.33,0,0
8/27/00,77,65,0,0,0
8/28/00,79,65,0,0,0
8/29/00,75,55,0,0,0
8/30/00,84,63,0.01,0,0
8/31/00,86,64,0,0,0
9/1/00,65,59,T,0,0
9/2/00,72,59,1.97,0,0
9/3/00,74,58,T,0,0
9/4/00,68,55,0,0,0
9/5/00,70,51,0,0,0
9/6/00,74,53,0,0,0
9/7/00,76,57,0.07,0,0
9/8/00,77,51,0,0,0
9/9/00,88,65,T,0,0
9/10/00,79,55,0,0,0
9/11/00,82,54,0,0,0
9/12/00,74,47,0,0,0
9/13/00,79,58,T,0,0
9/14/00,70,51,T,0,0
9/15/00,64,44,0,0,0
9/16/00,81,46,0,0,0
9/17/00,80,53,0,0,0
9/18/00,89,65,0,0,0
9/19/00,75,55,0.02,0,0
9/20/00,59,46,T,0,0
9/21/00,59,38,0,0,0
9/22/00,54,49,0.09,0,0
9/23/00,51,40,0,0,0
9/24/00,56,31,0,0,0
9/25/00,66,36,0,0,0
9/26/00,77,44,0,0,0
9/27/00,62,43,0,0,0
9/28/00,79,45,0,0,0
9/29/00,84,61,0,0,0
9/30/00,82,60,0,0,0
