Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
3/17/02,40,31,T,T,4
3/18/02,38,25,T,T,4
3/19/02,38,27,T,0.1,3
3/20/02,36,13,0.03,0.3,3
3/21/02,15,6,T,T,2
3/22/02,24,9,0,0,2
3/23/02,35,16,0,0,1
3/24/02,29,14,0,0,1
3/25/02,30,10,0,0,1
3/26/02,39,16,0,0,1
3/27/02,53,27,0,0,1
3/28/02,52,40,T,0,T
3/29/02,51,34,0,0,T
3/30/02,44,32,T,T,0
3/31/02,35,26,T,T,0
4/1/02,29,22,0.31,4.6,0
4/2/02,36,23,0.4,3,5
4/3/02,30,20,T,T,4
4/4/02,32,23,T,T,4
4/5/02,38,17,0,0,4
4/6/02,47,24,0,0,2
4/7/02,54,43,0,0,0
4/8/02,52,36,0,0,0
4/9/02,54,29,T,0,0
4/10/02,59,44,0.52,0,0
4/11/02,51,42,0.5,0,0
4/12/02,63,42,0,0,0
4/13/02,65,44,0.16,0,0
4/14/02,76,53,0.06,0,0
4/15/02,91,55,0,0,0
4/16/02,84,62,0.11,0,0
4/17/02,67,50,0.04,0,0
4/18/02,87,47,0.15,0,0
4/19/02,53,39,0,0,0
4/20/02,52,34,0,0,0
4/21/02,42,31,0.22,6.6,T
4/22/02,42,32,T,T,2
4/23/02,67,36,0,0,0
4/24/02,64,38,T,0,0
4/25/02,44,31,0,0,0
4/26/02,51,30,0,0,0
4/27/02,45,33,0.67,5.5,0
4/28/02,43,34,0.01,0.5,5
4/29/02,65,42,T,0,0
4/30/02,63,39,T,0,0
5/1/02,53,39,0,0,0
5/2/02,50,31,T,0,0
5/3/02,65,33,0,0,0
5/4/02,62,42,T,0,0
5/5/02,76,38,0.29,0,0
5/6/02,57,44,T,0,0
5/7/02,51,39,0.23,0,0
5/8/02,52,43,1.28,0,0
5/9/02,48,40,T,0,0
5/10/02,61,36,0,0,0
5/11/02,53,43,0.22,0,0
5/12/02,50,41,T,0,0
5/13/02,63,39,0.12,0,0
5/14/02,64,42,0,0,0
5/15/02,76,53,T,0,0
5/16/02,60,47,0,0,0
5/17/02,56,39,0,0,0
5/18/02,57,41,0,0,0
5/19/02,58,40,0,0,0
5/20/02,60,35,0,0,0
5/21/02,68,45,0,0,0
5/22/02,76,49,0.25,0,0
5/23/02,67,48,0,0,0
5/24/02,57,43,0,0,0
5/25/02,66,47,0.01,0,0
5/26/02,71,56,0.18,0,0
5/27/02,77,55,0.04,0,0
5/28/02,75,60,0.18,0,0
5/29/02,84,59,0.03,0,0
5/30/02,91,63,0,0,0
5/31/02,86,64,0,0,0
6/1/02,87,64,0,0,0
6/2/02,73,54,0.31,0,0
6/3/02,57,51,0.45,0,0
6/4/02,56,49,0.5,0,0
6/5/02,75,46,0,0,0
6/6/02,78,52,0.43,0,0
6/7/02,85,61,0.12,0,0
6/8/02,77,62,T,0,0
6/9/02,87,67,0,0,0
6/10/02,83,66,0.7,0,0
6/11/02,77,63,0.05,0,0
6/12/02,77,61,0.18,0,0
6/13/02,71,55,0.16,0,0
6/14/02,77,54,0,0,0
6/15/02,74,56,0,0,0
6/16/02,79,54,0.02,0,0
6/17/02,75,59,0,0,0
6/18/02,83,62,T,0,0
6/19/02,82,69,0.37,0,0
6/20/02,78,62,0.06,0,0
6/21/02,72,61,2.95,0,0
6/22/02,90,68,0,0,0
6/23/02,90,71,0.28,0,0
6/24/02,89,69,1.54,0,0
6/25/02,89,68,0.18,0,0
6/26/02,83,68,T,0,0
6/27/02,85,65,0,0,0
6/28/02,87,68,0,0,0
6/29/02,94,73,0,0,0
6/30/02,97,80,0,0,0
7/1/02,94,80,0,0,0
7/2/02,86,77,0,0,0
7/3/02,87,70,0.43,0,0
7/4/02,85,63,0,0,0
7/5/02,84,70,0,0,0
7/6/02,95,72,0.2,0,0
7/7/02,91,72,0,0,0
7/8/02,86,74,0.14,0,0
7/9/02,90,71,T,0,0
7/10/02,77,61,1.93,0,0
7/11/02,78,62,0.01,0,0
7/12/02,80,59,0,0,0
7/13/02,82,64,0,0,0
7/14/02,85,66,0,0,0
7/15/02,85,69,0,0,0
7/16/02,90,71,0,0,0
7/17/02,92,72,0,0,0
7/18/02,83,73,T,0,0
7/19/02,83,71,0,0,0
7/20/02,89,70,0.53,0,0
7/21/02,91,74,T,0,0
7/22/02,79,63,0,0,0
7/23/02,74,58,T,0,0
7/24/02,71,63,0.73,0,0
7/25/02,82,65,0.1,0,0
7/26/02,89,68,0,0,0
7/27/02,82,69,0.22,0,0
7/28/02,91,69,0.78,0,0
7/29/02,84,66,0,0,0
7/30/02,92,71,0,0,0
7/31/02,91,73,0.12,0,0
8/1/02,84,63,T,0,0
8/2/02,77,58,0,0,0
8/3/02,74,63,2.36,0,0
8/4/02,78,67,T,0,0
8/5/02,80,65,0,0,0
8/6/02,73,61,0,0,0
8/7/02,79,61,0,0,0
8/8/02,81,64,0,0,0
8/9/02,84,65,0,0,0
8/10/02,81,67,0.12,0,0
8/11/02,89,65,0,0,0
8/12/02,80,63,0.01,0,0
8/13/02,75,59,0,0,0
8/14/02,83,60,0,0,0
8/15/02,79,65,0.05,0,0
8/16/02,82,59,1.97,0,0
8/17/02,73,56,0.39,0,0
8/18/02,73,50,T,0,0
8/19/02,74,54,0,0,0
8/20/02,79,56,0.94,0,0
8/21/02,75,65,2,0,0
8/22/02,71,64,T,0,0
8/23/02,76,65,T,0,0
8/24/02,84,62,0,0,0
8/25/02,84,64,0,0,0
8/26/02,83,65,0,0,0
8/27/02,82,66,0,0,0
8/28/02,81,67,0.39,0,0
8/29/02,81,68,0.07,0,0
8/30/02,80,64,0,0,0
8/31/02,83,67,0,0,0
9/1/02,87,66,0.09,0,0
9/2/02,84,64,0,0,0
9/3/02,82,57,0,0,0
9/4/02,86,60,0,0,0
9/5/02,84,67,1.1,0,0
9/6/02,88,64,1.27,0,0
9/7/02,92,75,0,0,0
9/8/02,91,68,0,0,0
9/9/02,89,75,0,0,0
9/10/02,79,60,0.16,0,0
9/11/02,77,56,0,0,0
9/12/02,80,58,0,0,0
9/13/02,70,63,T,0,0
9/14/02,71,53,0.13,0,0
9/15/02,68,47,0,0,0
9/16/02,83,51,0,0,0
9/17/02,80,56,0,0,0
9/18/02,77,64,0.03,0,0
9/19/02,73,61,T,0,0
9/20/02,72,58,T,0,0
9/21/02,65,52,0,0,0
9/22/02,59,45,0,0,0
9/23/02,57,42,0.02,0,0
9/24/02,63,39,T,0,0
9/25/02,58,45,0.7,0,0
9/26/02,57,44,0.29,0,0
9/27/02,65,39,0,0,0
9/28/02,55,46,0.08,0,0
9/29/02,62,53,0.02,0,0
9/30/02,84,62,0.01,0,0
10/1/02,72,50,0.01,0,0
10/2/02,50,43,0.04,0,0
10/3/02,54,41,T,0,0
10/4/02,55,41,1.93,0,0
10/5/02,54,39,0.65,0,0
10/6/02,48,36,0.34,0,0
10/7/02,45,32,0.18,T,0
10/8/02,64,40,0.01,0,0
10/9/02,55,35,0.39,0,0
10/10/02,66,46,0.21,0,0
10/11/02,75,53,0,0,0
10/12/02,66,35,0.24,0,0
10/13/02,53,31,0,0,0
10/14/02,63,37,0,0,0
10/15/02,47,29,0,0,0
10/16/02,39,26,T,T,0
10/17/02,40,33,T,T,0
10/18/02,48,37,0.13,T,0
10/19/02,40,32,0,0,0
10/20/02,36,33,0.03,0.2,0
10/21/02,36,32,0.02,0.4,0
10/22/02,39,28,0,0,0
10/23/02,36,25,0,0,0
10/24/02,41,30,T,0,0
10/25/02,42,37,T,T,0
10/26/02,42,31,0,0,0
10/27/02,41,26,T,T,0
10/28/02,42,35,T,T,0
10/29/02,45,39,T,0,0
10/30/02,40,28,T,0,0
10/31/02,34,24,0,0,0
11/1/02,36,21,0,0,0
11/2/02,45,27,0,0,0
11/3/02,46,27,0,0,0
11/4/02,37,28,0,0,0
11/5/02,36,29,0.04,0.8,0
11/6/02,45,32,0,0,0
11/7/02,66,33,0,0,0
11/8/02,53,35,0,0,0
11/9/02,56,39,T,0,0
11/10/02,45,33,0.04,0,0
11/11/02,37,27,T,T,0
11/12/02,47,24,0,0,0
11/13/02,43,22,0,0,0
11/14/02,35,24,0,0,0
11/15/02,30,21,0,0,0
11/16/02,32,24,0,0,0
11/17/02,37,19,0,0,0
11/18/02,45,26,0,0,0
11/19/02,50,33,0,0,0
11/20/02,47,32,T,0,0
11/21/02,38,27,0.01,0.5,T
11/22/02,36,22,T,0,0
11/23/02,44,28,T,0,0
11/24/02,28,20,T,T,0
11/25/02,25,19,T,T,0
11/26/02,28,15,0,0,0
11/27/02,29,20,T,T,0
11/28/02,45,19,0,0,0
11/29/02,47,24,T,0.1,0
11/30/02,25,16,T,T,T
12/1/02,38,19,T,0,0
12/2/02,26,9,T,0.5,T
12/3/02,23,5,T,T,T
12/4/02,22,6,0.02,1.5,1
12/5/02,23,3,0,0,1
12/6/02,39,8,0,0,1
12/7/02,34,22,0,0,T
12/8/02,24,12,0,0,T
12/9/02,41,10,0,0,T
12/10/02,45,27,0,0,0
12/11/02,37,25,0,0,0
12/12/02,41,26,0,0,0
12/13/02,42,21,0,0,0
12/14/02,48,24,0,0,0
12/15/02,39,27,0,0,0
12/16/02,30,22,T,T,0
12/17/02,39,30,0.07,0,0
12/18/02,46,33,0.07,0,0
12/19/02,37,29,0.02,0.5,0
12/20/02,30,26,0.02,0.5,1
12/21/02,28,21,0,0,1
12/22/02,26,19,T,T,1
12/23/02,26,14,0,0,T
12/24/02,20,12,0.02,T,T
12/25/02,23,11,0,0,T
12/26/02,34,12,0,0,T
12/27/02,35,21,0,0,T
12/28/02,39,27,0,0,0
12/29/02,42,26,0,0,0
12/30/02,39,22,0,0,0
12/31/02,26,13,0,0,0
1/1/03,25,20,0,0,0
1/2/03,31,14,0,0,0
1/3/03,30,12,T,0,0
1/4/03,34,21,T,0.1,0
1/5/03,32,29,0.01,T,0
1/6/03,29,23,0,0,0
1/7/03,52,28,0,0,0
1/8/03,54,31,0,0,0
1/9/03,36,17,T,T,0
1/10/03,17,3,0.02,0.2,T
1/11/03,15,-1,0,0,T
1/12/03,33,2,0,0,0
1/13/03,8,0,T,1.2,0
1/14/03,11,-2,0,0,1
1/15/03,16,-2,0,0,1
1/16/03,23,7,0,0,1
1/17/03,20,0,T,0.2,1
1/18/03,22,2,T,T,T
1/19/03,25,1,T,T,T
1/20/03,13,4,0,0,T
1/21/03,11,-4,0,0,T
1/22/03,5,-6,T,T,T
1/23/03,6,-12,0,0,T
1/24/03,15,2,0.01,0.3,T
1/25/03,14,2,0.01,0.4,T
1/26/03,6,-6,0,0,T
1/27/03,28,-1,0.02,0.5,1
1/28/03,26,10,0.04,1.3,1
1/29/03,14,0,0,0,2
1/30/03,31,14,0,0,2
1/31/03,32,29,0.11,0.9,3
2/1/03,36,29,T,T,3
2/2/03,35,31,0.33,3.8,2
2/3/03,32,12,0.13,2.2,7
2/4/03,12,-1,0,0,6
2/5/03,19,-2,0.05,2,6
2/6/03,9,-8,T,0.2,8
2/7/03,21,-14,T,0,7
2/8/03,25,-3,T,T,6
2/9/03,23,-6,0.01,0.7,6
2/10/03,13,-7,0,0,7
2/11/03,18,-5,0.02,1.6,7
2/12/03,10,-7,0,0,6
2/13/03,25,9,0,0,6
2/14/03,26,13,T,0.2,5
2/15/03,16,6,0,0,5
2/16/03,25,2,0,0,5
2/17/03,32,11,T,0,4
2/18/03,31,14,T,T,4
2/19/03,38,14,0,0,4
2/20/03,46,31,0,0,2
2/21/03,40,20,T,0,2
2/22/03,24,10,T,0,2
2/23/03,12,5,T,T,2
2/24/03,6,-3,T,T,1
2/25/03,18,-2,0,0,1
2/26/03,29,4,0,0,1
2/27/03,37,15,0,0,1
2/28/03,37,16,0,0,T
3/1/03,42,15,T,0,T
3/2/03,15,-3,0,0,T
3/3/03,28,5,0.09,2,2
3/4/03,12,3,T,0,2
3/5/03,14,-6,T,0,2
3/6/03,26,10,0.02,0.8,1
3/7/03,26,13,T,T,2
3/8/03,17,-4,0.23,5,4
3/9/03,9,-10,0,0,5
3/10/03,17,-8,T,0.1,5
3/11/03,39,17,0.11,2.3,5
3/12/03,29,18,0.04,1.1,5
3/13/03,33,20,T,0,5
3/14/03,59,32,0,0,4
3/15/03,68,34,0,0,T
3/16/03,64,43,0,0,0
3/17/03,60,39,0,0,0
3/18/03,51,39,0,0,0
3/19/03,48,37,0.18,0,0
3/20/03,37,33,0.14,T,0
3/21/03,41,35,0.04,T,0
3/22/03,57,33,0,0,0
3/23/03,72,35,0,0,0
3/24/03,61,43,0,0,0
3/25/03,53,35,0,0,0
3/26/03,53,28,0,0,0
3/27/03,41,33,0.57,1.2,0
3/28/03,36,30,0.02,0.7,1
3/29/03,45,30,0,0,0
3/30/03,45,25,0,0,0
3/31/03,56,31,T,0,0
4/1/03,63,39,0,0,0
4/2/03,52,37,0,0,0
4/3/03,38,29,T,T,0
4/4/03,29,23,0.01,0.6,0
4/5/03,36,21,T,0.4,1
4/6/03,41,22,0,0,0
4/7/03,42,30,0,0,0
4/8/03,49,22,0,0,0
4/9/03,56,29,0,0,0
4/10/03,69,35,0,0,0
4/11/03,69,44,0,0,0
4/12/03,64,39,0,0,0
4/13/03,76,44,0,0,0
4/14/03,89,64,0,0,0
4/15/03,73,49,0.86,0,0
4/16/03,50,33,1.04,0,0
4/17/03,40,32,T,0,0
4/18/03,45,34,0.11,0,0
4/19/03,53,43,0.24,0,0
4/20/03,48,40,0.1,0,0
4/21/03,62,43,0.02,0,0
4/22/03,62,38,0,0,0
4/23/03,70,41,0,0,0
4/24/03,67,48,0,0,0
4/25/03,66,47,0,0,0
4/26/03,73,42,0,0,0
4/27/03,74,57,0,0,0
4/28/03,61,43,0,0,0
4/29/03,57,47,T,0,0
4/30/03,60,50,0.02,0,0
5/1/03,71,42,0,0,0
5/2/03,65,45,0,0,0
5/3/03,68,45,0,0,0
5/4/03,57,46,0.64,0,0
5/5/03,51,46,0.18,0,0
5/6/03,63,49,0,0,0
5/7/03,65,50,0,0,0
5/8/03,63,48,0.44,0,0
5/9/03,64,51,0.5,0,0
5/10/03,57,46,0.73,0,0
5/11/03,60,46,1.37,0,0
5/12/03,67,47,0,0,0
5/13/03,70,42,0.02,0,0
5/14/03,62,51,0.76,0,0
5/15/03,72,44,0,0,0
5/16/03,72,52,0,0,0
5/17/03,74,54,0,0,0
5/18/03,76,56,0,0,0
5/19/03,66,48,0.94,0,0
5/20/03,60,41,0,0,0
5/21/03,63,43,0,0,0
5/22/03,52,48,0.35,0,0
5/23/03,65,43,0,0,0
5/24/03,70,51,0,0,0
5/25/03,76,43,0,0,0
5/26/03,76,49,0,0,0
5/27/03,82,50,0,0,0
5/28/03,77,61,0,0,0
5/29/03,80,54,T,0,0
5/30/03,77,53,0.21,0,0
5/31/03,64,47,0,0,0
6/1/03,72,49,0,0,0
6/2/03,70,53,0,0,0
6/3/03,73,50,T,0,0
6/4/03,72,54,0.28,0,0
6/5/03,77,53,0,0,0
6/6/03,64,58,0.74,0,0
6/7/03,66,57,0.02,0,0
6/8/03,72,56,T,0,0
6/9/03,74,52,0.01,0,0
6/10/03,72,56,T,0,0
6/11/03,68,53,0,0,0
6/12/03,73,56,T,0,0
6/13/03,82,64,0,0,0
6/14/03,82,59,0,0,0
6/15/03,84,59,0,0,0
6/16/03,89,65,0,0,0
6/17/03,87,69,T,0,0
6/18/03,84,65,0,0,0
6/19/03,79,58,0,0,0
6/20/03,83,59,0,0,0
6/21/03,88,58,0,0,0
6/22/03,83,70,0.01,0,0
6/23/03,88,70,0.02,0,0
6/24/03,88,66,1.37,0,0
6/25/03,79,57,2.09,0,0
6/26/03,70,54,T,0,0
6/27/03,75,57,T,0,0
6/28/03,75,60,0.12,0,0
6/29/03,81,56,0,0,0
6/30/03,83,61,0,0,0
7/1/03,86,66,0,0,0
7/2/03,90,72,0,0,0
7/3/03,90,67,0.8,0,0
7/4/03,85,67,0.05,0,0
7/5/03,86,66,0,0,0
7/6/03,84,71,0,0,0
7/7/03,80,68,T,0,0
7/8/03,77,65,0.01,0,0
7/9/03,71,62,0.04,0,0
7/10/03,71,60,0.02,0,0
7/11/03,77,58,0.12,0,0
7/12/03,81,59,0,0,0
7/13/03,84,63,0,0,0
7/14/03,79,68,0.61,0,0
7/15/03,79,64,0,0,0
7/16/03,85,63,0,0,0
7/17/03,80,66,0,0,0
7/18/03,80,61,0,0,0
7/19/03,85,61,0,0,0
7/20/03,85,69,0.1,0,0
7/21/03,77,63,T,0,0
7/22/03,76,60,0,0,0
7/23/03,79,56,0,0,0
7/24/03,82,59,0,0,0
7/25/03,87,69,0,0,0
7/26/03,92,75,0.1,0,0
7/27/03,86,69,0,0,0
7/28/03,87,67,0,0,0
7/29/03,88,66,0,0,0
7/30/03,90,68,0.04,0,0
7/31/03,80,65,0.16,0,0
8/1/03,82,63,0,0,0
8/2/03,81,63,0,0,0
8/3/03,77,62,0,0,0
8/4/03,79,63,0,0,0
8/5/03,75,64,T,0,0
8/6/03,86,64,0.22,0,0
8/7/03,85,65,0,0,0
8/8/03,84,63,0,0,0
8/9/03,85,62,0,0,0
8/10/03,87,69,0,0,0
8/11/03,84,64,0,0,0
8/12/03,84,58,0,0,0
8/13/03,86,64,0,0,0
8/14/03,87,68,0,0,0
8/15/03,94,72,0,0,0
8/16/03,95,72,0,0,0
8/17/03,92,70,0,0,0
8/18/03,96,73,0,0,0
8/19/03,89,74,0.03,0,0
8/20/03,91,71,0.85,0,0
8/21/03,82,66,T,0,0
8/22/03,84,60,0,0,0
8/23/03,87,66,0,0,0
8/24/03,97,72,0,0,0
8/25/03,88,70,0.02,0,0
8/26/03,92,71,0,0,0
8/27/03,83,61,0,0,0
8/28/03,89,67,0,0,0
8/29/03,72,59,0,0,0
8/30/03,76,53,0,0,0
8/31/03,75,54,0,0,0
9/1/03,80,55,0,0,0
9/2/03,85,59,0,0,0
9/3/03,70,58,0,0,0
9/4/03,75,53,0,0,0
9/5/03,86,53,0,0,0
9/6/03,92,66,0,0,0
9/7/03,92,65,0,0,0
9/8/03,90,66,0,0,0
9/9/03,86,63,0,0,0
9/10/03,88,69,T,0,0
9/11/03,84,63,0.61,0,0
9/12/03,76,58,0.86,0,0
9/13/03,69,57,0,0,0
9/14/03,69,52,0,0,0
9/15/03,74,51,0,0,0
9/16/03,85,54,0,0,0
9/17/03,88,65,0,0,0
9/18/03,73,47,0.54,0,0
9/19/03,60,47,0,0,0
9/20/03,75,44,0,0,0
9/21/03,62,51,0.02,0,0
9/22/03,62,47,0,0,0
9/23/03,69,43,0,0,0
9/24/03,66,46,T,0,0
9/25/03,55,39,T,0,0
9/26/03,57,47,0.13,0,0
9/27/03,52,46,T,0,0
9/28/03,53,41,T,0,0
9/29/03,51,36,0.04,0,0
9/30/03,50,35,0,0,0
10/1/03,47,31,0,0,0
10/2/03,56,28,0,0,0
10/3/03,59,44,T,0,0
10/4/03,63,41,0,0,0
10/5/03,67,42,0,0,0
10/6/03,76,46,0,0,0
10/7/03,85,48,0,0,0
10/8/03,81,62,0,0,0
10/9/03,80,60,0,0,0
10/10/03,72,57,0,0,0
10/11/03,68,50,0.48,0,0
10/12/03,66,42,0,0,0
10/13/03,60,49,0,0,0
10/14/03,60,42,0,0,0
10/15/03,54,37,0,0,0
10/16/03,53,33,0,0,0
10/17/03,60,35,0,0,0
10/18/03,75,47,0,0,0
10/19/03,79,44,0,0,0
10/20/03,78,55,0,0,0
10/21/03,56,45,T,0,0
10/22/03,67,39,0,0,0
10/23/03,55,41,0,0,0
10/24/03,60,41,T,0,0
10/25/03,46,34,0.01,T,0
10/26/03,37,29,T,T,0
10/27/03,43,34,0.04,0,0
10/28/03,45,36,0.04,T,0
10/29/03,39,35,0.02,T,0
10/30/03,42,37,0.03,0,0
10/31/03,40,32,0,0,0
11/1/03,36,28,0,0,0
11/2/03,42,34,0,0,0
11/3/03,36,29,0.15,1.4,0
11/4/03,34,31,0.02,0,T
11/5/03,31,19,0,0,0
11/6/03,34,13,0,0,0
11/7/03,24,14,0,0,0
11/8/03,27,14,0,0,0
11/9/03,45,16,0,0,0
11/10/03,42,37,T,0,0
11/11/03,59,37,0,0,0
11/12/03,41,28,0.25,0.6,0
11/13/03,36,22,0,0,0
11/14/03,45,32,0,0,0
11/15/03,42,39,T,0,0
11/16/03,43,39,T,T,0
11/17/03,53,40,0.01,0,0
11/18/03,51,36,T,0,0
11/19/03,51,34,0,0,0
11/20/03,55,33,0,0,0
11/21/03,33,25,0,0,0
11/22/03,34,30,0.02,1,0
11/23/03,32,15,0.22,5.6,1
11/24/03,18,9,T,T,6
11/25/03,35,14,0,0,4
11/26/03,37,17,0.04,0.8,4
11/27/03,33,24,0,0,4
11/28/03,26,17,T,T,4
11/29/03,36,14,0,0,3
11/30/03,45,28,0,0,3
12/1/03,34,22,0,0,1
12/2/03,30,17,0,0,T
12/3/03,37,28,0,0,T
12/4/03,36,28,0.06,0.9,T
12/5/03,34,30,0.02,0.5,1
12/6/03,32,29,0,0,T
12/7/03,36,28,0,0,T
12/8/03,41,32,T,0,T
12/9/03,35,19,0.37,9.5,2
12/10/03,22,11,0.04,1,9
12/11/03,11,0,T,0,7
12/12/03,15,-4,T,T,6
12/13/03,25,4,T,T,6
12/14/03,29,24,T,T,6
12/15/03,29,25,T,T,5
12/16/03,27,14,0.06,2,7
12/17/03,20,10,T,0.7,6
12/18/03,32,19,0.05,0.7,7
12/19/03,28,14,0,0,6
12/20/03,34,15,0,0,6
12/21/03,38,25,0,0,5
12/22/03,35,26,T,0,4
12/23/03,31,16,0,0,4
12/24/03,28,10,0,0,4
12/25/03,33,12,0,0,4
12/26/03,39,26,0,0,3
12/27/03,43,38,0.01,0,2
12/28/03,40,29,0,0,T
12/29/03,29,17,0.01,0.8,T
12/30/03,33,11,T,T,T
12/31/03,26,10,T,0,T
1/1/04,34,17,T,0,T
1/2/04,36,19,T,0,T
1/3/04,19,9,0,0,T
1/4/04,10,3,T,0.2,T
1/5/04,4,-6,T,T,T
1/6/04,12,-3,T,0,T
1/7/04,20,5,0,0,T
1/8/04,20,9,0,0,T
1/9/04,21,15,0,0,T
1/10/04,28,20,0,0,T
1/11/04,36,22,T,0,T
1/12/04,33,17,T,T,0
1/13/04,30,14,T,0,0
1/14/04,34,13,T,T,0
1/15/04,28,10,0,0,0
1/16/04,29,19,0,0,0
1/17/04,34,4,T,T,0
1/18/04,4,-6,0,0,0
1/19/04,9,-5,0,0,0
1/20/04,20,6,T,0.3,T
1/21/04,30,-9,0.01,0.2,T
1/22/04,5,-10,T,0.3,T
1/23/04,12,5,0.04,0.5,T
1/24/04,14,1,0,0,1
1/25/04,18,11,T,0.8,1
1/26/04,20,15,0.16,7.6,4
1/27/04,16,-2,T,0.1,7
1/28/04,2,-16,T,T,6
1/29/04,-8,-16,T,0.2,5
1/30/04,-4,-24,0,0,5
1/31/04,7,-15,0.02,0.5,5
2/1/04,19,7,0.24,6.7,11
2/2/04,22,10,0.35,4,14
2/3/04,11,-8,0,0,12
2/4/04,15,-11,T,0.2,12
2/5/04,26,15,0.03,1.1,12
2/6/04,27,17,0.06,1.5,13
2/7/04,25,4,0.02,0.3,13
2/8/04,19,2,0.03,1.8,13
2/9/04,27,13,T,0.1,14
2/10/04,17,7,0.02,0.3,12
2/11/04,24,16,0.02,1.3,10
2/12/04,19,6,T,T,11
2/13/04,28,7,0,0,10
2/14/04,20,3,0,0,10
2/15/04,12,-5,0,0,10
2/16/04,24,3,T,0,10
2/17/04,28,9,T,0,9
2/18/04,42,22,0,0,9
2/19/04,39,32,0.01,T,8
2/20/04,34,31,0.14,2.4,9
2/21/04,36,26,0,0,8
2/22/04,36,26,0.08,T,8
2/23/04,35,28,0,0,7
2/24/04,38,24,0,0,7
2/25/04,33,24,T,0,6
2/26/04,38,22,0,0,5
2/27/04,40,28,0,0,5
2/28/04,47,32,0,0,4
2/29/04,48,33,0.09,0,3
3/1/04,44,38,0.01,0,2
3/2/04,39,31,0,0,T
3/3/04,36,28,0.04,T,0
3/4/04,38,29,T,0,T
3/5/04,35,31,0.59,7.8,5
3/6/04,36,25,0.07,T,5
3/7/04,36,24,T,T,2
3/8/04,35,21,0.07,0.9,2
3/9/04,43,23,0,0,1
3/10/04,46,29,0.09,T,T
3/11/04,29,5,T,0.2,T
3/12/04,32,6,0,0,T
3/13/04,45,27,0.15,T,0
3/14/04,36,27,T,T,0
3/15/04,35,22,0,0,0
3/16/04,37,22,0.09,1.5,0
3/17/04,44,30,T,0,1
3/18/04,42,30,0.05,T,T
3/19/04,53,30,T,T,0
3/20/04,48,23,T,0,0
3/21/04,32,17,0,0,0
3/22/04,44,17,0,0,0
3/23/04,51,28,0,0,0
3/24/04,66,36,0,0,0
3/25/04,63,44,0.48,0,0
3/26/04,66,42,0,0,0
3/27/04,61,47,0.45,0,0
3/28/04,62,42,0.02,0,0
3/29/04,46,33,T,T,0
3/30/04,43,30,0,0,0
3/31/04,48,24,0,0,0
4/1/04,57,27,0,0,0
4/2/04,62,29,0,0,0
4/3/04,55,37,0,0,0
4/4/04,51,29,0,0,0
4/5/04,72,35,T,0,0
4/6/04,67,45,0,0,0
4/7/04,70,42,T,0,0
4/8/04,54,37,0,0,0
4/9/04,44,33,T,0,0
4/10/04,43,30,T,T,0
4/11/04,44,25,0,0,0
4/12/04,48,28,0,0,0
4/13/04,59,29,0,0,0
4/14/04,70,41,0,0,0
4/15/04,74,47,T,0,0
4/16/04,72,46,T,0,0
4/17/04,71,45,0,0,0
4/18/04,88,51,1.04,0,0
4/19/04,58,42,0.04,0,0
4/20/04,53,43,0.31,0,0
4/21/04,57,39,0.24,0,0
4/22/04,59,34,0,0,0
4/23/04,63,43,0,0,0
4/24/04,57,39,0.18,0,0
4/25/04,63,41,0.25,0,0
4/26/04,51,39,0,0,0
4/27/04,60,33,T,0,0
4/28/04,91,49,0,0,0
4/29/04,77,44,T,0,0
4/30/04,61,43,0,0,0
5/1/04,56,37,0,0,0
5/2/04,53,41,0,0,0
5/3/04,61,37,0,0,0
5/4/04,64,47,0,0,0
5/5/04,84,40,0.04,0,0
5/6/04,71,51,T,0,0
5/7/04,65,44,T,0,0
5/8/04,70,46,0,0,0
5/9/04,88,55,0.62,0,0
5/10/04,72,56,0,0,0
5/11/04,77,53,0,0,0
5/12/04,76,47,0.14,0,0
5/13/04,47,39,0.38,0,0
5/14/04,54,39,T,0,0
5/15/04,59,37,T,0,0
5/16/04,71,47,0.66,0,0
5/17/04,66,52,0.32,0,0
5/18/04,71,46,0,0,0
5/19/04,75,51,0.17,0,0
5/20/04,70,61,0,0,0
5/21/04,63,51,0.21,0,0
5/22/04,58,47,0.1,0,0
5/23/04,52,45,1.28,0,0
5/24/04,56,43,T,0,0
5/25/04,58,47,0.01,0,0
5/26/04,70,42,0.69,0,0
5/27/04,67,51,0.17,0,0
5/28/04,71,48,0.03,0,0
5/29/04,60,55,0.82,0,0
5/30/04,73,56,0.62,0,0
5/31/04,68,53,0.13,0,0
6/1/04,59,53,0.3,0,0
6/2/04,72,50,0,0,0
6/3/04,73,46,0,0,0
6/4/04,79,54,0,0,0
6/5/04,76,61,0.33,0,0
6/6/04,81,58,0,0,0
6/7/04,95,70,0,0,0
6/8/04,82,60,0.38,0,0
6/9/04,67,59,0.9,0,0
6/10/04,61,56,0.16,0,0
6/11/04,73,56,0.68,0,0
6/12/04,81,59,0,0,0
6/13/04,79,64,T,0,0
6/14/04,75,61,T,0,0
6/15/04,82,58,0,0,0
6/16/04,74,64,T,0,0
6/17/04,75,62,0,0,0
6/18/04,65,53,0,0,0
6/19/04,70,47,0,0,0
6/20/04,68,55,0,0,0
6/21/04,74,54,T,0,0
6/22/04,77,51,0,0,0
