GEO_ID,NAME,B05012_001E,B05012_001M,B05012_002E,B05012_002M,B05012_003E,B05012_003M
0500000US27155,"Traverse County, Minnesota",3397,*****,3335,25,62,25
0500000US27157,"Wabasha County, Minnesota",21327,*****,21038,86,289,86
0500000US27159,"Wadena County, Minnesota",13755,*****,13647,42,108,42
0500000US27161,"Waseca County, Minnesota",19034,*****,18391,146,643,146
0500000US27163,"Washington County, Minnesota",248745,*****,232530,949,16215,949
0500000US27165,"Watonwan County, Minnesota",10996,*****,9771,182,1225,182
0500000US27167,"Wilkin County, Minnesota",6479,*****,6448,17,31,17
0500000US27169,"Winona County, Minnesota",51145,*****,49296,223,1849,223
0500000US27171,"Wright County, Minnesota",129922,*****,126179,564,3743,564
0500000US27173,"Yellow Medicine County, Minnesota",10038,*****,9889,40,149,40
