GEO_ID,NAME,B05012_001E,B05012_001M,B05012_002E,B05012_002M,B05012_003E,B05012_003M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Native,Margin of Error!!Total!!Native,Estimate!!Total!!Foreign-Born,Margin of Error!!Total!!Foreign-Born
0500000US27001,"Aitkin County, Minnesota",15722,*****,15567,35,155,35
0500000US27003,"Anoka County, Minnesota",341249,*****,316325,912,24924,912
0500000US27005,"Becker County, Minnesota",33375,*****,32796,205,579,207
0500000US27007,"Beltrami County, Minnesota",45644,*****,44808,189,836,189
0500000US27009,"Benton County, Minnesota",39457,*****,38304,316,1153,316
0500000US27011,"Big Stone County, Minnesota",5098,*****,5050,25,48,25
0500000US27013,"Blue Earth County, Minnesota",65524,*****,62817,273,2707,273
0500000US27015,"Brown County, Minnesota",25327,*****,24794,135,533,135
0500000US27017,"Carlton County, Minnesota",35482,*****,35094,91,388,91
0500000US27019,"Carver County, Minnesota",97143,*****,92263,445,4880,445
0500000US27021,"Cass County, Minnesota",28633,*****,28347,48,286,48
0500000US27023,"Chippewa County, Minnesota",12126,*****,11633,70,493,70
0500000US27025,"Chisago County, Minnesota",54041,*****,53191,141,850,141
0500000US27027,"Clay County, Minnesota",61402,*****,59122,343,2280,343
0500000US27029,"Clearwater County, Minnesota",8764,*****,8670,25,94,25
0500000US27031,"Cook County, Minnesota",5215,*****,4969,77,246,77
0500000US27033,"Cottonwood County, Minnesota",11557,*****,11042,88,515,88
0500000US27035,"Crow Wing County, Minnesota",63321,*****,62359,179,962,179
0500000US27037,"Dakota County, Minnesota",411402,*****,374696,1326,36706,1326
0500000US27039,"Dodge County, Minnesota",20361,*****,19935,87,426,86
0500000US27041,"Douglas County, Minnesota",36862,*****,36448,94,414,94
0500000US27043,"Faribault County, Minnesota",14119,*****,13803,69,316,69
0500000US27045,"Fillmore County, Minnesota",20877,*****,20605,49,272,49
0500000US27047,"Freeborn County, Minnesota",30751,*****,29549,174,1202,174
0500000US27049,"Goodhue County, Minnesota",46450,*****,45019,153,1431,153
0500000US27051,"Grant County, Minnesota",5943,*****,5879,28,64,28
0500000US27053,"Hennepin County, Minnesota",1209265,*****,1046713,2677,162552,2677
0500000US27055,"Houston County, Minnesota",18791,*****,18593,66,198,66
0500000US27057,"Hubbard County, Minnesota",20640,*****,20356,61,284,61
0500000US27059,"Isanti County, Minnesota",38461,*****,37912,128,549,128
0500000US27061,"Itasca County, Minnesota",45356,*****,44898,94,458,94
0500000US27063,"Jackson County, Minnesota",10163,*****,9946,52,217,52
0500000US27065,"Kanabec County, Minnesota",15918,*****,15772,33,146,33
0500000US27067,"Kandiyohi County, Minnesota",42510,*****,39498,302,3012,302
0500000US27069,"Kittson County, Minnesota",4436,*****,4346,33,90,34
0500000US27071,"Koochiching County, Minnesota",12930,*****,12211,174,719,174
0500000US27073,"Lac qui Parle County, Minnesota",6916,*****,6804,32,112,32
0500000US27075,"Lake County, Minnesota",10721,*****,10465,85,256,85
0500000US27077,"Lake of the Woods County, Minnesota",3901,*****,3840,48,61,48
0500000US27079,"Le Sueur County, Minnesota",27650,*****,26871,118,779,118
0500000US27081,"Lincoln County, Minnesota",5793,*****,5752,22,41,22
0500000US27083,"Lyon County, Minnesota",25670,*****,24033,279,1637,279
0500000US27085,"McLeod County, Minnesota",35926,*****,34730,176,1196,176
0500000US27087,"Mahnomen County, Minnesota",5480,*****,5437,10,43,10
0500000US27089,"Marshall County, Minnesota",9406,*****,9242,34,164,34
0500000US27091,"Martin County, Minnesota",20193,*****,19713,183,480,183
0500000US27093,"Meeker County, Minnesota",23094,*****,22583,101,511,101
0500000US27095,"Mille Lacs County, Minnesota",25788,*****,25394,88,394,88
0500000US27097,"Morrison County, Minnesota",32850,*****,32543,54,307,54
0500000US27099,"Mower County, Minnesota",39248,*****,36089,343,3159,343
0500000US27101,"Murray County, Minnesota",8463,*****,8253,53,210,53
0500000US27103,"Nicollet County, Minnesota",33226,*****,31869,272,1357,272
0500000US27105,"Nobles County, Minnesota",21729,*****,17322,295,4407,295
0500000US27107,"Norman County, Minnesota",6638,*****,6521,37,117,37
0500000US27109,"Olmsted County, Minnesota",150104,*****,134247,929,15857,929
0500000US27111,"Otter Tail County, Minnesota",57694,*****,56322,197,1372,197
0500000US27113,"Pennington County, Minnesota",14156,*****,13912,88,244,88
0500000US27115,"Pine County, Minnesota",29067,*****,28576,86,491,86
0500000US27117,"Pipestone County, Minnesota",9285,*****,8942,48,343,48
0500000US27119,"Polk County, Minnesota",31550,*****,30576,193,974,193
0500000US27121,"Pope County, Minnesota",10975,*****,10868,29,107,29
0500000US27123,"Ramsey County, Minnesota",531528,*****,451278,1967,80250,1967
0500000US27125,"Red Lake County, Minnesota",4042,*****,3994,17,48,17
0500000US27127,"Redwood County, Minnesota",15578,*****,15232,59,346,59
0500000US27129,"Renville County, Minnesota",14995,*****,14589,67,406,67
0500000US27131,"Rice County, Minnesota",65116,*****,60280,409,4836,409
0500000US27133,"Rock County, Minnesota",9554,*****,9385,33,169,33
0500000US27135,"Roseau County, Minnesota",15609,*****,15040,74,569,74
0500000US27137,"St. Louis County, Minnesota",200353,*****,195975,449,4378,449
0500000US27139,"Scott County, Minnesota",139490,*****,128331,690,11159,690
0500000US27141,"Sherburne County, Minnesota",91188,*****,88588,428,2600,428
0500000US27143,"Sibley County, Minnesota",14957,*****,14231,113,726,113
0500000US27145,"Stearns County, Minnesota",153661,*****,145075,848,8586,848
0500000US27147,"Steele County, Minnesota",36541,*****,35281,225,1260,225
0500000US27149,"Stevens County, Minnesota",9762,*****,9355,66,407,66
0500000US27151,"Swift County, Minnesota",9483,*****,9308,58,175,58
0500000US27153,"Todd County, Minnesota",24335,*****,23477,112,858,112
